country,region,income_group,le_1960,le_2013
New Caledonia,East Asia & Pacific,High income: nonOECD,58.63902439,77.12195122
Niger,Sub-Saharan Africa,Low income,35.51504878,58.44270732
Nigeria,Sub-Saharan Africa,Lower middle income,37.18295122,52.49978049
Nicaragua,Latin America & Caribbean,Lower middle income,46.99882927,74.78817073
Netherlands,Europe & Central Asia,High income: OECD,73.39268293,81.10487805
Norway,Europe & Central Asia,High income: OECD,73.5497561,81.45121951
Nepal,South Asia,Low income,38.45563415,68.40385366
New Zealand,East Asia & Pacific,High income: OECD,71.23658537,81.40731707
Oman,Middle East & North Africa,High income: nonOECD,42.66707317,76.85202439
Pakistan,South Asia,Lower middle income,46.43373171,66.58536585
Panama,Latin America & Caribbean,Upper middle income,60.87682927,77.57895122
Peru,Latin America & Caribbean,Upper middle income,47.69158537,74.81460976
Philippines,East Asia & Pacific,Lower middle income,57.81192683,68.7144878
Papua New Guinea,East Asia & Pacific,Lower middle income,38.4622439,62.43073171
Poland,Europe & Central Asia,High income: OECD,67.6804878,76.84878049
Puerto Rico,Latin America & Caribbean,High income: nonOECD,68.71960976,78.71119512
"Korea, Dem. Rep.",East Asia & Pacific,Low income,51.07717073,69.80695122
Portugal,Europe & Central Asia,High income: OECD,62.80892683,80.37317073
Paraguay,Latin America & Caribbean,Upper middle income,63.79370732,72.2734878
French Polynesia,East Asia & Pacific,High income: nonOECD,56.35704878,76.33904878
Qatar,Middle East & North Africa,High income: nonOECD,61.24790244,78.60690244
Romania,Europe & Central Asia,Upper middle income,65.64243902,74.46341463
Russian Federation,Europe & Central Asia,High income: nonOECD,66.05529268,71.07317073
Rwanda,Sub-Saharan Africa,Low income,42.24929268,63.99397561
Saudi Arabia,Middle East & North Africa,High income: nonOECD,45.66626829,75.70336585
Sudan,Sub-Saharan Africa,Lower middle income,48.18763415,62.0444878
Senegal,Sub-Saharan Africa,Lower middle income,38.206,63.35073171
Singapore,East Asia & Pacific,High income: nonOECD,65.65982927,82.34634146
Solomon Islands,East Asia & Pacific,Lower middle income,49.38170732,67.71690244
Sierra Leone,Sub-Saharan Africa,Low income,30.33153659,45.55095122
El Salvador,Latin America & Caribbean,Lower middle income,51.29931707,72.33892683
Somalia,Sub-Saharan Africa,Low income,36.96587805,55.0245122
South Sudan,Sub-Saharan Africa,Low income,31.67670732,55.24121951
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,50.45136585,66.26097561
Suriname,Latin America & Caribbean,Upper middle income,59.68012195,71.03163415
Slovak Republic,Europe & Central Asia,High income: OECD,69.97592683,76.26097561
Slovenia,Europe & Central Asia,High income: OECD,68.97804878,80.27804878
Sweden,Europe & Central Asia,High income: OECD,73.00560976,81.70487805
Swaziland,Sub-Saharan Africa,Lower middle income,44.23378049,48.93792683
Syrian Arab Republic,Middle East & North Africa,Lower middle income,52.7682439,74.71578049
Chad,Sub-Saharan Africa,Low income,38.01612195,51.15907317
Togo,Sub-Saharan Africa,Low income,40.27282927,56.4885122
Thailand,East Asia & Pacific,Upper middle income,55.23836585,74.36507317
Tajikistan,Europe & Central Asia,Lower middle income,56.15353659,67.37460976
Turkmenistan,Europe & Central Asia,Upper middle income,54.45868293,65.46258537
Timor-Leste,East Asia & Pacific,Lower middle income,33.72712195,67.52236585
Tonga,East Asia & Pacific,Upper middle income,61.36453659,72.64231707
Trinidad and Tobago,Latin America & Caribbean,High income: nonOECD,62.65758537,69.92521951
Tunisia,Middle East & North Africa,Upper middle income,42.0097561,73.64634146
Turkey,Europe & Central Asia,Upper middle income,45.38441463,75.17595122
Tanzania,Sub-Saharan Africa,Low income,43.65387805,61.49314634
Uganda,Sub-Saharan Africa,Low income,43.98356098,59.19
Ukraine,Europe & Central Asia,Lower middle income,68.29953659,71.1595122
Uruguay,Latin America & Caribbean,High income: nonOECD,67.89587805,77.05141463
United States,North America,High income: OECD,69.77073171,78.84146341
Uzbekistan,Europe & Central Asia,Lower middle income,58.88553659,68.22758537
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,57.72387805,72.50097561
"Venezuela, RB",Latin America & Caribbean,High income: nonOECD,59.52919512,74.64309756
Virgin Islands (U.S.),Latin America & Caribbean,High income: nonOECD,63.73021951,79.62439024
Vietnam,East Asia & Pacific,Lower middle income,59.06702439,75.7564878
Vanuatu,East Asia & Pacific,Lower middle income,46.4874878,71.68682927
Samoa,East Asia & Pacific,Lower middle income,49.9695122,73.26487805
"Yemen, Rep.",Middle East & North Africa,Lower middle income,32.38565854,63.08958537
South Africa,Sub-Saharan Africa,Upper middle income,49.03629268,56.73658537
Zambia,Sub-Saharan Africa,Lower middle income,45.10980488,58.09278049
Zimbabwe,Sub-Saharan Africa,Low income,51.54246341,59.7734878
